bsl_id;bsl_data;bsl_importo;bsl_tipo;fattura_id;fattura_numero;fattura_ref;fattura_residuo;differenza;tipo_match
115927;2025-05-22;142.03;orfano;11837;ACQ/2025/05/0046;2313;142.03;0.0;1:1 esatto (ambiguo, 2 candidati)
116177;2025-06-09;104.36;orfano;12049;ACQ/2025/06/0063;2585;104.36;0.0;1:1 esatto
116185;2025-06-10;262.31;orfano;12051;ACQ/2025/06/0064;2642;262.32;-0.01;1:1 esatto
116255;2025-06-19;304.16;orfano;12730;ACQ/2025/06/0072;862/FN;304.16;0.0;1:1 esatto
116259;2025-06-19;71.02;orfano;12050;ACQ/2025/06/0065;841/FN;71.02;0.0;1:1 esatto
116397;2025-06-25;414.63;orfano;12868;ACQ/2025/06/0087;901/FN;414.62;0.01;1:1 esatto
116581;2025-07-10;464.84;orfano;13106;ACQ/2025/07/0023;3328;464.84;0.0;1:1 esatto
116685;2025-07-16;213.06;orfano;15474;ACQ/2025/10/0048;1583/FN;213.06;0.0;1:1 esatto
117367;2025-09-12;355.09;orfano;15888;RACQ/2025/11/0003;1874;355.09;0.0;1:1 esatto
117911;2025-10-29;123.74;orfano;14034;ACQ/2025/09/0054;4788;123.74;0.0;1:1 esatto
117903;2025-10-29;74.73;orfano;11835;ACQ/2025/05/0049;718/FN;74.73;0.0;1:1 esatto
118685;2025-12-22;142.03;orfano;15887;ACQ/2025/11/0036;6144;142.03;0.0;1:1 esatto
118807;2025-12-30;2035.07;orfano;17339;ACQ/2025/12/0097;7783;2035.07;0.0;1:1 esatto
119835;2026-03-31;174.46;orfano;16018;RACQ/2025/11/0002;2004;174.46;0.0;1:1 esatto
119823;2026-03-31;239.73;orfano;17088;RACQ/2025/12/0001;2152;239.73;0.0;1:1 esatto
119819;2026-03-31;70.76;orfano;15924;RACQ/2025/10/0002;1812;70.76;0.0;1:1 esatto
119937;2026-04-07;298.22;orfano;18492;ACQ/2026/04/0001;1756;298.22;0.0;1:1 esatto
116579;2025-07-10;358.09;orfano;12924;ACQ/2025/07/0005;928/FN;405.06;-0.0;composto: ft ACQ/2025/07/0005 - NC RACQ/2024/12/0003 (NC ref 2146, 46.97€)
119565;2026-03-18;3077.93;orfano;18422;ACQ/2026/03/0022;1481;3358.53;-0.0;composto: ft ACQ/2026/03/0022 - NC RACQ/2026/03/0001 (NC ref 405, 280.60€)
